====================== Design Variables =======================
     NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
      Isp   300     250     350 Engine Specific Impulse  (sec) 
 Wpayload   100      50     150 Payload Mass  (lbm)            
 pcentACS     5       0      10 % ACS Propellant of Total      
===============================================================
""
deltaVReqmt vs massFraction,
deltaVReqmt,GLOW = 1000,GLOW = 1500,GLOW = 2000
2000.0,0.2177386938136259,0.2099623118034567,0.20627876241143867
2100.0,0.2274285348233252,0.2193060870727488,0.21545861180543488
2200.0,0.23701327630424548,0.22854851636721965,0.22453889322377782
2300.0,0.2464940582039757,0.23769069892200487,0.23352068661674674
2400.0,0.2558720081058543,0.246733722049589,0.24240506022115116
2500.0,0.26514824136306836,0.2556786612691118,0.25119307068736685
2600.0,0.27432372473710864,0.26452658043427396,0.25988576320499596
2700.0,0.28339984039544436,0.2732785318598571,0.26848417162716587
2800.0,0.2923775118650159,0.28193555644687157,0.2769893185934799
2900.0,0.30125780690082793,0.2904986838063492,0.2854022156516372
3000.0,0.3100417816980939,0.29896893238179206,0.2937238633777323
3100.0,0.3187304810144542,0.30734720191272746,0.30195525149525365
3200.0,0.32732493829105924,0.3156347202545354,0.3100973589927892
3300.0,0.3358261757725292,0.3238323476096815,0.3181510519886057
3400.0,0.34423520462580065,0.3319410590323083,0.3261175086797195
3500.0,0.352553025057868,0.33996181901319855,0.3339975566574285
3600.0,0.3607806264324332,0.34789558159170425,0.3417921332273138
3700.0,0.3689189873854703,0.35574329046664793,0.34950216553830643
3800.0,0.37696907593971934,0.3635058791062132,0.35712857069035187
3900.0,0.3849318496181174,0.3711842708568242,0.3646722558411
4000.0,0.3928082555561775,0.37877937905103054,0.37213411831162585
,
