==================== Design Variables ====================
      NAME VALUE MINIMUM MAXIMUM DESCRIPTION              
 pcentBell    70      70      90 Percent Bell of Nozzle   
        ko 0.035   0.035    0.05 Entrainment Constant     
        pc   500     300     500 Chamber Pressure  (psia) 
==========================================================
""
Lprime vs IspDel,
Lprime,LinjToExit = 6,LinjToExit = 7,LinjToExit = 8
1.0,292.13694174850303,296.7661284421748,300.3031501936519
1.1,293.06273323822927,297.8280670182667,301.47815473476436
1.2000000000000002,293.5124143688168,298.4309607828662,302.1926493634146
1.3000000000000003,293.6329453597773,298.7088550089963,302.5834600409925
1.4000000000000004,293.5123751217885,298.748128560466,302.73657408568823
1.5000000000000004,293.20868134342913,298.61003726907524,302.7136525149508
1.6000000000000005,292.7610293452466,298.3320276510445,302.5533247452098
1.7000000000000006,292.19865520327573,297.94541205259986,302.2870895748368
1.8000000000000007,291.5407132766559,297.46984204500603,301.93421996094054
1.9000000000000008,290.80270913452784,296.91986531940194,301.4968009991695
2.000000000000001,289.99537351746017,296.30708048934025,300.9918286916785
,
