=================== Design Variables ===================
     NAME   VALUE MINIMUM MAXIMUM DESCRIPTION           
   pcBell      80      60     100 Percent Bell          
 thetaAng 34.3306      25      40 Entrance Angle  (deg) 
      eps      40       5     100 Area Ratio            
  exitAng 8.41057       3      15 Exit Angle  (deg)     
========================================================
""
exitAng,eta2D
3.0,0.9891718361688304
3.5,0.989572278462972
4.0,0.9899436684739932
4.5,0.9902737263708846
5.0,0.9905693408393347
5.5,0.9908278163066825
6.0,0.991049751789075
6.5,0.9912324517138517
7.0,0.9913717229679846
7.5,0.9914774493178963
8.0,0.9915427420778984
8.5,0.991559514530009
9.0,0.9915328583114761
9.5,0.9914576817850516
10.0,0.9913273957731208
10.5,0.9911428987999038
11.0,0.990889814477877
11.5,0.9905801231299772
12.0,0.9901877675538175
12.5,0.9897349113468306
13.0,0.9891778263302986
13.5,0.9885344829886263
14.0,0.9877782251032807
14.5,0.9868979708755456
15.0,0.9858760493290905
