=================== Design Variables ===================
     NAME   VALUE MINIMUM MAXIMUM DESCRIPTION           
   pcBell      80      60     100 Percent Bell          
 thetaAng 34.3306      25      40 Entrance Angle  (deg) 
      eps      40       5     100 Area Ratio            
  exitAng 8.41057       3      15 Exit Angle  (deg)     
========================================================
""
thetaAng,eta2D
25.0,0.9870474254041743
25.5,0.987650335155937
26.0,0.9881948408333859
26.5,0.9886866330899157
27.0,0.989131402578921
27.5,0.989520463566273
28.0,0.9898699894879358
28.5,0.9901820769004229
29.0,0.9904549287552942
29.5,0.9906900425929166
30.0,0.9908886164455836
30.5,0.9910578385070569
31.0,0.9912042979549516
31.5,0.9913178115147718
32.0,0.991410659017527
32.5,0.9914774493178963
33.0,0.9915265686419344
33.5,0.9915523263362472
34.0,0.9915664032156973
34.5,0.9915604130542292
35.0,0.9915361529002834
35.5,0.9915002119314749
36.0,0.9914507930993633
36.5,0.9913878964039484
37.0,0.9913178115147718
37.5,0.9912342487622919
38.0,0.9911446958483441
38.5,0.9910431626114602
39.0,0.9909374362615485
39.5,0.990829613355123
40.0,0.9907053175046601
