======================= Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                   
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)           
    pcentACS     5       0      10 % ACS Propellant of Total     
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)     
=================================================================
""
Isp,massFraction
250.0,0.48705387549593576
252.0,0.4838927250318708
254.0,0.48077172327772566
256.0,0.47769012458928334
258.0,0.4746472012248981
260.0,0.4716422428289973
262.0,0.46867455593251334
264.0,0.4657434634696642
266.0,0.4628483043104979
268.0,0.459988432808647
270.0,0.4571632183637578
272.0,0.45437204499807693
274.0,0.45161431094669596
276.0,0.44888942826097183
278.0,0.4461968224246622
280.0,0.44353593198232627
282.0,0.44090620817956244
284.0,0.43830711461466726
286.0,0.4357381269013133
288.0,0.4331987323418671
290.0,0.4306884296109682
292.0,0.4282067284490187
294.0,0.4257531493652358
296.0,0.42332722334993356
298.0,0.42092849159572265
300.0,0.41855650522730986
302.0,0.4162108250396087
304.0,0.4138910212438743
306.0,0.411596673221585
308.0,0.40932736928580893
310.0,0.40708270644979994
312.0,0.4048622902025759
314.0,0.4026657342912446
316.0,0.40049266050984883
318.0,0.39834269849450993
320.0,0.39621548552466
322.0,0.39411066633015857
324.0,0.39202789290409584
326.0,0.38996682432109575
328.0,0.38792712656093553
330.0,0.38590847233730385
332.0,0.38391054093153226
334.0,0.3819330180311334
336.0,0.37997559557299104
338.0,0.37803797159104763
340.0,0.37611985006834486
342.0,0.37422094079327645
344.0,0.37234095921991534
346.0,0.3704796263322874
348.0,0.3686366685124604
350.0,0.36681181741233077
