======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
GLOW,massFraction
600.0,0.5580753405202827
650.0,0.518212816192799
700.0,0.4883159229508784
750.0,0.46506278376159554
800.0,0.44646027239938463
850.0,0.43124003579638337
900.0,0.41855650522730986
950.0,0.4078242869508677
1000.0,0.39862524257667065
1050.0,0.39065273728474964
1100.0,0.3836767949618991
1150.0,0.37752155152446637
1200.0,0.37205022379967173
