======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
deltaVReqmt,massFraction
2000.0,0.2939472280574238
2100.0,0.30702851536933945
2200.0,0.31996791798765994
2300.0,0.33276697486964124
2400.0,0.34542720828489204
2500.0,0.357950123994568
2600.0,0.37033721142884696
2700.0,0.3825899438626975
2800.0,0.3947097785899632
2900.0,0.4066981570957753
3000.0,0.41855650522730986
3100.0,0.43028623336290966
3200.0,0.44188873657958366
3300.0,0.4533653948188968
3400.0,0.4647175730512708
3500.0,0.4759466214387049
3600.0,0.48705387549593576
3700.0,0.49804065623802035
3800.0,0.5089082703985053
3900.0,0.5196580104657658
4000.0,0.5302911549582257
