====================== Design Variables =======================
     NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
      Isp   300     250     350 Engine Specific Impulse  (sec) 
 Wpayload   300     250     450 Payload Mass  (lbm)            
 pcentACS     5       0      10 % ACS Propellant of Total      
===============================================================
""
deltaVReqmt vs massFraction,
deltaVReqmt,GLOW = 600,GLOW = 900,GLOW = 1200
2000.0,0.39192964903667743,0.2939472280574238,0.26128639532589115
2100.0,0.40937136285522263,0.30702851536933945,0.272914210510957
2200.0,0.4266238975080575,0.31996791798765994,0.28441590563154767
2300.0,0.44368930490807484,0.33276697486964124,0.295792848627441
2400.0,0.4605696147102131,0.34542720828489204,0.30704639261571365
2500.0,0.47726683455306806,0.357950123994568,0.3181778760488114
2600.0,0.49378295029808095,0.37033721142884696,0.3291886228711079
2700.0,0.5101199262663176,0.3825899438626975,0.34007994267397273
2800.0,0.5262797054728358,0.3947097785899632,0.35085313084935604
2900.0,0.542264209858648,0.4066981570957753,0.36150946874191164
3000.0,0.5580753405202827,0.41855650522730986,0.37205022379967173
3100.0,0.5737149779369326,0.43028623336290966,0.3824766497232854
3200.0,0.5891849821951896,0.44188873657958366,0.3927899866138392
3300.0,0.6044871932113537,0.4533653948188968,0.4029914611192742
3400.0,0.6196234309512972,0.4647175730512708,0.41308228657941365
3500.0,0.6345954956478658,0.4759466214387049,0.4230636631696174
3600.0,0.6494051680157918,0.48705387549593576,0.4329367780430767
3700.0,0.6640542094640822,0.49804065623802035,0.442702805471767
3800.0,0.6785443623058495,0.5089082703985053,0.45236290698606924
3900.0,0.6928773499655311,0.5196580104657658,0.4619182315130797
4000.0,0.7070548771834532,0.5302911549582257,0.4713699155136185
,
