=================== Design Variables ===================
     NAME   VALUE MINIMUM MAXIMUM DESCRIPTION           
   pcBell      80      60     100 Percent Bell          
 thetaAng 33.4591      25      40 Entrance Angle  (deg) 
      eps      40       5     100 Area Ratio            
  exitAng 8.62371       3      15 Exit Angle  (deg)     
========================================================
""
thetaAng,eta2D
25.0,0.9870423337669265
25.5,0.987644344994469
26.0,0.9881843580508167
26.5,0.9886743532589061
27.0,0.989117325699471
27.5,0.9895093817675571
28.0,0.9898610042457338
28.5,0.9901703960855602
29.0,0.9904375572870369
29.5,0.9906723716165857
30.0,0.9908730420257665
30.5,0.9910461576921942
31.0,0.9911944141885293
31.5,0.9913058311918357
32.0,0.991398678694591
32.5,0.9914714591564282
33.0,0.991523274053127
33.5,0.9915460366667058
34.0,0.9915571184654217
34.5,0.9915550219089079
35.0,0.9915334573276228
35.5,0.9915041055364292
36.0,0.9914522906397303
36.5,0.9913938865654165
37.0,0.9913306903619282
37.5,0.9912489246578888
38.0,0.9911614683004548
38.5,0.9910662247331123
39.0,0.9909715801819166
39.5,0.990857168097876
40.0,0.9907367658523676
