======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
Wpayload,massFraction
250.0,0.3863598497273339
260.0,0.392396722834514
270.0,0.39862524257667065
280.0,0.40505468220977214
290.0,0.4116949230659269
300.0,0.41855650522730986
310.0,0.42565068335327066
320.0,0.4329894882825826
330.0,0.44058579512005064
340.0,0.4484533986180415
350.0,0.45660709678137773
360.0,0.4650627837615953
370.0,0.4738375532674665
380.0,0.4829498139074418
390.0,0.49241941810172907
400.0,0.5022678064884294
410.0,0.5125181698609882
420.0,0.5231956317331693
430.0,0.5343274536853472
440.0,0.5459432678972009
450.0,0.5580753405202827
