======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
Isp,massFraction
250.0,0.3607806264324332
252.0,0.358439031945619
254.0,0.35612717719135883
256.0,0.3538445098414986
258.0,0.3515904908291127
260.0,0.34936459396590436
262.0,0.3471663055721519
264.0,0.34499512411876204
266.0,0.3428505598810013
268.0,0.34073213460349444
270.0,0.3386393811760931
272.0,0.3365718433202322
274.0,0.334529075285402
276.0,0.3325106415553815
278.0,0.33051611656389124
280.0,0.3285450844193303
282.0,0.3265971386382825
284.0,0.3246718818874822
286.0,0.32276892573394433
288.0,0.32088789040297305
290.0,0.3190284045437756
292.0,0.31719010500241324
294.0,0.31537263660183856
296.0,0.31357565192877
298.0,0.3117988111271698
300.0,0.3100417816980939
302.0,0.3083042383057006
304.0,0.3065858625891978
306.0,0.3048863429805339
308.0,0.30320537452763086
310.0,0.3015426587229727
312.0,0.2998979033373667
314.0,0.2982708222587016
316.0,0.29666113533553734
318.0,0.295068568225358
320.0,0.29349285224733707
322.0,0.29193372423945885
324.0,0.2903909264198556
326.0,0.2888642062522162
328.0,0.2873533163151333
330.0,0.28585801417525886
332.0,0.2843780622641411
334.0,0.28291322775862404
336.0,0.2814632824646907
338.0,0.28002800270464023
340.0,0.27860716920748874
342.0,0.2772005670024887
344.0,0.27580798531566963
346.0,0.27442921746929855
348.0,0.27306419986642766
350.0,0.2717124583720239
