======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
deltaVReqmt,massFraction
2000.0,0.2177386938136259
2100.0,0.2274285348233252
2200.0,0.23701327630424548
2300.0,0.2464940582039757
2400.0,0.2558720081058543
2500.0,0.26514824136306836
2600.0,0.27432372473710864
2700.0,0.28339984039544436
2800.0,0.2923775118650159
2900.0,0.30125780690082793
3000.0,0.3100417816980939
3100.0,0.3187304810144542
3200.0,0.32732493829105924
3300.0,0.3358261757725292
3400.0,0.34423520462580065
3500.0,0.352553025057868
3600.0,0.3607806264324332
3700.0,0.3689189873854703
3800.0,0.37696907593971934
3900.0,0.3849318496181174
4000.0,0.3928082555561775
