======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
GLOW,massFraction
500.0,0.3487970767031893
600.0,0.33484518190785373
700.0,0.3255439133531321
800.0,0.3189001459975638
900.0,0.3139173173914478
1000.0,0.3100417816980939
1100.0,0.30694135136362516
1200.0,0.30440463426022824
1300.0,0.3022907022638517
1400.0,0.3005019897202553
1500.0,0.29896893238179206
