=================== Design Variables ====================
   NAME VALUE MINIMUM MAXIMUM DESCRIPTION                
 deltaP   200     100     500 Pump Pressure Rise  (psid) 
   wdot     1     0.5       3 Pump Flow Rate  (lbm/sec)  
=========================================================
""
rpm,effCalc
10000.0,0.4592282497923109
12000.0,0.48132537052389124
14000.0,0.49831850192600713
16000.0,0.5137716203812066
18000.0,0.5217969247385668
20000.0,0.5296803648629355
22000.0,0.5373172578807147
24000.0,0.5446343844721424
26000.0,0.551579058307637
28000.0,0.5581124776821231
30000.0,0.5642055107311061
32000.0,0.5698359292126022
34000.0,0.5749865387727924
36000.0,0.5788156894028041
38000.0,0.5822808752579864
40000.0,0.5855039468758533
42000.0,0.5884733877009876
44000.0,0.5911795204893903
46000.0,0.5936141474464404
48000.0,0.5957702736057338
50000.0,0.597641892078729
